"file_time","timediff","sample_id","series","vessel","seriavessel","numbers","total_cells","viable_cells","viability","total_cells_per_ml","viable_cells_per_ml","average_diameter","average_circularity"
"2021-03-17 12:32:15.569+03",0,"90120421_f500_d0","90120421","f500","90120421-f500","0",648,626,96.6,0.372,0.36,17.4,0.859
"2021-03-17 11:55:01.373+03",78,"484150321_v6_d3_m2","484150321","v6","484150321-v6","2",3835,3444,89.8,4.41,3.96,17.9,0.773
"2021-03-17 11:50:48.704+03",0,"465040421R_f250_d0_m1","465040421R","f250","465040421R-f250","1",592,579,97.8,0.34,0.333,18,0.891
"2021-03-17 10:59:40.385+03",300,"207160321_v11_d12_m2","207160321","v11","207160321-v11","2",7134,5581,78.2,20.5,16,17.4,0.895
"2021-03-17 10:52:13.754+03",299,"207160321_v11_d12_m1","207160321","v11","207160321-v11","1",3911,3005,76.8,11.2,8.64,17.3,0.892
"2021-03-17 10:09:45.437+03",65,"90120421_f125_d2","90120421","f125","90120421-f125","2",3066,2985,97.4,1.76,1.72,17.2,0.879
"2021-03-17 10:06:15.215+03",65,"465040421R_f125_d3","465040421R","f125","465040421R-f125","3",6458,6298,97.5,3.71,3.62,18.2,0.893
"2021-03-17 09:35:49.855+03",0,"484160321_V1_d2_m1","484160321","V1","484160321-V1","1",3256,2989,91.8,1.87,1.72,17.8,0.709
"2021-03-17 08:18:04.745+03",101,"207180321_v9_d4_m1","207180321","v9","207180321-v9","1",4691,4662,99.4,13.5,13.4,14.5,0.9
"2021-03-17 08:06:37.04+03",101,"207180321_v8_d4_m1","207180321","v8","207180321-v8","1",4245,4226,99.6,12.2,12.1,14.6,0.897
"2021-03-17 07:48:15.488+03",101,"207180321_v7_d4_m1","207180321","v7","207180321-v7","1",4093,4063,99.3,11.8,11.7,14.5,0.898
"2021-03-17 05:15:51.705+03",78,"90100321_v5_d2tu_m1","90100321","v5","90100321-v5","1",3695,3654,98.9,2.12,2.1,16.6,0.897
"2021-03-17 04:41:52.83+03",240,"465020321R_v14_d10_m2","465020321R","v14","465020321R-v14","2",6898,6531,94.7,19.8,18.8,15.7,0.904
"2021-03-17 04:33:10.115+03",240,"465020321R_v14_d10_m1","465020321R","v14","465020321R-v14","1",3499,3292,94.1,4.02,3.78,16,0.888
"2021-03-17 03:24:40.956+03",292,"207160321_v11_d11_e2","207160321","v11","207160321-v11","2",6665,6546,98.2,19.2,18.8,18.1,0.909
"2021-03-17 00:42:37.232+03",289,"207160321_v10_d11_e1","207160321","v10","207160321-v10","1",6689,6575,98.3,19.2,18.9,18.4,0.866
"2021-03-16 21:42:52.524+03",64,"484150321_v6_d2_e2","484150321","v6","484150321-v6","2",5463,5200,95.2,3.14,2.99,18.3,0.813
"2021-03-16 21:23:39.797+03",36,"484160321_v1_d1_e1","484160321","v1","484160321-v1","1",2776,2709,97.6,1.6,1.56,18.2,0.786
"2021-03-16 16:57:28.242+03",0,"90110421_f2000_d0","90110421","f2000","90110421-f2000","0",911,902,99,0.524,0.518,16.4,0.878
"2021-03-16 14:34:16.829+03",22,"90120421_f125tu_d1_m2","90120421","f125tu","90120421-f125tu","2",1505,1433,95.2,0.865,0.824,17.6,0.885
"2021-03-16 14:30:47.708+03",45,"465040421R_f125_d2","465040421R","f125","465040421R-f125","2",3475,3351,96.4,2,1.93,19.2,0.878
"2021-03-16 14:24:48.257+03",42,"90110421_f500_d2","90110421","f500","90110421-f500","2",4330,4293,99.1,2.49,2.47,16.6,0.892
"2021-03-16 13:22:35.777+03",224,"465020321R_v14_d9_e1","465020321R","v14","465020321R-v14","1",5781,5448,94.2,16.6,15.7,15.7,0.9
"2021-03-16 13:06:42.528+03",33,"90100321_v5tu_d1_e1","90100321","v5tu","90100321-v5tu","1",2136,2098,98.2,1.23,1.21,16.9,0.887
"2021-03-16 10:11:02.576+03",79,"207180321_v9_d3_e1","207180321","v9","207180321-v9","1",6421,6399,99.7,7.38,7.36,15,0.876
"2021-03-16 10:07:32.472+03",79,"207180321_v8_d3_e1","207180321","v8","207180321-v8","1",6954,6938,99.8,7.99,7.98,15.1,0.87
"2021-03-16 10:03:59.035+03",80,"207180321_v7_d3_e1","207180321","v7","207180321-v7","1",6573,6555,99.7,7.56,7.54,15.1,0.869
"2021-03-16 08:32:27.066+03",39,"465040421R_f125_1d_m1","465040421R","f125","465040421R-f125","1",2755,2648,96.1,1.58,1.52,19.1,0.869
"2021-03-16 06:29:25.461+03",22,"484160321_v1_d1_m1","484160321","v1","484160321-v1","1",1844,1809,98.1,1.06,1.04,17.9,0.709
"2021-03-16 05:47:40.443+03",270,"207160321_v12_d11_e1","207160321","v12","207160321-v12","1",6725,6607,98.2,19.3,19,17.9,0.878
"2021-03-16 03:58:29.598+03",215,"465020321R_v14_d9_m1","465020321R","v14","465020321R-v14","1",5778,5477,94.8,16.6,15.7,15.6,0.897
"2021-03-16 03:46:16.673+03",24,"90100321_v5tu_d1_m1","90100321","v5tu","90100321-v5tu","1",1551,1526,98.4,0.892,0.877,16.9,0.888
"2021-03-16 01:10:32.318+03",70,"207180321_v9_d3_m1","207180321","v9","207180321-v9","1",5282,5268,99.7,6.07,6.06,14.9,0.886
"2021-03-16 00:57:42.796+03",70,"207180321_v8_d3_m1","207180321","v8","207180321-v8","1",5176,5163,99.7,5.95,5.94,14.9,0.888
"2021-03-16 00:40:34.815+03",70,"207180321_v7_d3_m1","207180321","v7","207180321-v7","1",4933,4924,99.8,5.67,5.66,15,0.886
"2021-03-15 23:37:59.332+03",264,"207160321_v11_d11_m1","207160321","v11","207160321-v11","1",7257,7150,98.5,20.9,20.5,17.1,0.884
"2021-03-15 23:33:23.577+03",264,"207160321_v10_d11_m1","207160321","v10","207160321-v10","1",7138,7014,98.3,20.5,20.2,17,0.881
"2021-03-15 20:03:56.305+03",11,"484160321_v1_d0_e4","484160321","v1","484160321-v1","4",1171,1118,95.5,0.673,0.643,17.2,0.725
"2021-03-15 19:59:33.991+03",11,"484160321_v1_d0_e3","484160321","v1","484160321-v1","3",1107,1053,95.1,0.636,0.605,17.3,0.657
"2021-03-15 18:58:18.803+03",10,"484160321_v1_d0_e2","484160321","v1","484160321-v1","2",1127,1084,96.2,0.648,0.623,17.5,0.686
"2021-03-15 18:53:37.641+03",10,"484160321_v1_d0_e1","484160321","v1","484160321-v1","1",1043,1003,96.2,0.6,0.577,18.4,0.588
"2021-03-15 16:53:30.803+03",204,"465020321R_v14_d8_e1","465020321R","v14","465020321R-v14","1",5602,5335,95.2,16.1,15.3,15.5,0.897
"2021-03-15 16:06:35.649+03",0,"90120421_f125tu_0d_m1","90120421","f125tu","90120421-f125tu","1",616,557,90.4,0.354,0.32,17.9,0.885
"2021-03-15 14:30:35.598+03",0,"4865040421R_f125_1d_m1","4865040421R","f125","4865040421R-f125","1",1447,1392,96.2,0.832,0.8,19.4,0.857
"2021-03-15 14:27:05.268+03",21,"90120421_f125_1d_m1","90120421","f125","90120421-f125","1",1347,1251,92.9,0.774,0.719,17.9,0.888
"2021-03-15 14:23:37.012+03",18,"90110421_f500_1d_m1","90110421","f500","90110421-f500","1",1640,1623,99,0.943,0.933,17.5,0.864
"2021-03-15 12:23:49.806+03",57,"207180321_v9_d2_e3","207180321","v9","207180321-v9","3",6796,6778,99.7,3.91,3.9,15,0.876
"2021-03-15 12:17:45.647+03",58,"207180321_v8_d2_e2","207180321","v8","207180321-v8","2",6149,6134,99.8,3.53,3.53,15.1,0.887
"2021-03-15 12:12:43.515+03",58,"207180321_v7_d2_e1","207180321","v7","207180321-v7","1",6188,6178,99.8,3.56,3.55,15.1,0.887
"2021-03-15 11:40:53.987+03",8,"90100321_v5tu_d0_e1","90100321","v5tu","90100321-v5tu","1",956,937,98,0.55,0.539,16.8,0.889
"2021-03-15 11:31:49.608+03",252,"207160321_v12_d10_e8","207160321","v12","207160321-v12","8",3446,3386,98.3,19.8,19.5,17.6,0.874
"2021-03-15 11:24:44.722+03",252,"207160321_v11_d10_e7","207160321","v11","207160321-v11","7",3232,3177,98.3,18.6,18.3,17.7,0.881
"2021-03-15 11:20:11.193+03",252,"207160321_v10_d10_e6","207160321","v10","207160321-v10","6",3608,3515,97.4,20.7,20.2,17.4,0.823
"2021-03-15 08:28:30.754+03",0,"484160321_v1_d0_m1","484160321","v1","484160321-v1","1",1112,1076,96.8,0.639,0.619,17.2,0.709
"2021-03-15 05:02:10.909+03",192,"465020321R_v14_d8_m1","465020321R","v14","465020321R-v14","1",6018,5682,94.4,17.3,16.3,15.3,0.892
